Table with row headers in columns A and B and column headers in rows 4 through 6,,,,,,,,,,,
"Table 1. Reported Voting and Registration, by Sex and Single Years of Age: November 2024",,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,
Characteristics,,Total population,United States citizen,,,,,,,Total population,
,,,Total citizen population,Reported registered,Reported not registered,No response to registration1,Reported voted,Reported not voted,No response to voting2,Reported registered,Reported voted
,,,,Number,Number,Number,Number,Number,Number,Percent,Percent
MALE,69 years,"1,751","1,684","1,406",121,157,"1,320",208,156,80.3,75.3
MALE,70 years,"1,687","1,637","1,328",142,167,"1,215",250,173,78.7,72.0
MALE,71 years,"1,546","1,490","1,193",127,170,"1,097",221,173,77.2,70.9
MALE,72 years,"1,523","1,476","1,198",86,192,"1,114",177,185,78.7,73.1
MALE,73 years,"1,373","1,327","1,070",105,151,"1,013",169,145,77.9,73.7
MALE,74 years,"1,282","1,222",997,74,152,956,121,145,77.7,74.5
MALE,75 years,"1,228","1,177",953,90,134,904,144,129,77.6,73.6
MALE,76 years,"1,223","1,176",956,85,135,900,141,135,78.2,73.6
MALE,77 years,"1,334","1,295","1,057",72,166,994,131,170,79.2,74.5
MALE,78 years,990,979,803,61,115,747,123,109,81.1,75.4
MALE,79 years,736,711,606,32,74,566,76,69,82.2,76.9
MALE,80-84 years,"3,268","3,174","2,633",184,357,"2,485",350,338,80.6,76.0
MALE,85 years and over,"2,220","2,143","1,658",138,348,"1,530",271,342,74.7,68.9
FEMALE,Total 18 years and over,"133,637","121,849","91,301","13,253","17,294","81,532","23,461","16,856",68.3,61.0
FEMALE,18 to 24 years,"14,917","13,783","8,304","2,864","2,615","7,064","4,205","2,513",55.7,47.4
FEMALE,25 to 34 years,"22,287","19,697","13,819","2,845","3,032","11,624","5,180","2,892",62.0,52.2
FEMALE,35 to 44 years,"22,286","19,373","14,577","2,173","2,622","12,742","3,999","2,631",65.4,57.2
FEMALE,45 to 54 years,"20,274","18,012","14,100","1,552","2,360","12,721","2,954","2,337",69.5,62.7
FEMALE,55 to 64 years,"21,017","19,468","15,254","1,567","2,646","13,998","2,838","2,631",72.6,66.6
FEMALE,65 to 74 years,"18,684","17,930","14,503","1,237","2,191","13,580","2,195","2,155",77.6,72.7
FEMALE,75 years and over,"14,171","13,587","10,744","1,016","1,827","9,802","2,088","1,697",75.8,69.2
FEMALE,18 years,"2,133","2,018",885,545,587,746,701,570,41.5,35.0
FEMALE,19 years,"2,076","1,937","1,186",437,314,999,649,289,57.1,48.1
FEMALE,20 years,"1,951","1,776","1,050",452,273,900,616,259,53.8,46.2
FEMALE,21 years,"2,270","2,172","1,290",408,473,"1,085",660,427,56.8,47.8
FEMALE,22 years,"2,034","1,851","1,243",291,317,"1,080",465,307,61.1,53.1
FEMALE,23 years,"2,040","1,843","1,217",332,295,"1,044",486,313,59.6,51.2
FEMALE,24 years,"2,415","2,186","1,432",398,356,"1,209",629,349,59.3,50.1
FEMALE,25 years,"1,957","1,781","1,213",278,290,"1,002",515,265,62.0,51.2
FEMALE,26 years,"2,261","1,949","1,365",212,372,"1,190",401,358,60.4,52.6
FEMALE,27 years,"2,173","1,958","1,392",345,221,"1,139",604,216,64.1,52.4
FEMALE,28 years,"2,213","1,992","1,294",350,348,"1,109",576,308,58.5,50.1
FEMALE,29 years,"2,147","1,852","1,313",318,221,"1,090",529,233,61.1,50.8
FEMALE,30 years,"2,458","2,206","1,567",290,348,"1,281",568,357,63.7,52.1
FEMALE,31 years,"2,251","1,984","1,419",282,283,"1,209",516,259,63.1,53.7
FEMALE,32 years,"2,187","1,924","1,414",250,260,"1,199",457,268,64.6,54.8
FEMALE,33 years,"2,215","1,920","1,317",230,373,"1,126",476,318,59.5,50.8
FEMALE,34 years,"2,425","2,130","1,525",290,315,"1,281",538,310,62.9,52.8
FEMALE,35 years,"2,170","1,935","1,410",250,275,"1,162",485,288,65.0,53.5
FEMALE,36 years,"2,162","1,882","1,409",225,248,"1,264",368,250,65.2,58.5
FEMALE,37 years,"2,300","2,030","1,556",246,228,"1,337",473,220,67.6,58.1
FEMALE,38 years,"2,399","2,086","1,548",179,359,"1,381",340,365,64.5,57.6
FEMALE,39 years,"2,265","1,859","1,371",248,240,"1,210",394,255,60.5,53.4
FEMALE,40 years,"2,275","1,984","1,517",248,219,"1,334",446,204,66.7,58.6
FEMALE,41 years,"2,080","1,850","1,440",171,239,"1,298",334,219,69.2,62.4
FEMALE,42 years,"2,118","1,833","1,375",173,285,"1,178",380,275,64.9,55.6
FEMALE,43 years,"2,124","1,820","1,400",196,224,"1,218",358,245,65.9,57.3
FEMALE,44 years,"2,393","2,094","1,552",236,306,"1,361",422,311,64.9,56.9
FEMALE,45 years,"2,102","1,840","1,501",158,180,"1,330",321,188,71.4,63.3
FEMALE,46 years,"2,052","1,821","1,461",183,177,"1,329",332,160,71.2,64.8
FEMALE,47 years,"2,068","1,837","1,405",135,297,"1,226",318,292,67.9,59.3
FEMALE,48 years,"2,045","1,802","1,405",141,256,"1,257",273,272,68.7,61.5
FEMALE,49 years,"1,844","1,584","1,218",127,240,"1,093",255,236,66.0,59.2
FEMALE,50 years,"2,054","1,827","1,383",187,257,"1,268",310,249,67.3,61.7
FEMALE,51 years,"1,908","1,649","1,326",114,208,"1,214",226,209,69.5,63.6
FEMALE,52 years,"1,924","1,715","1,324",158,233,"1,198",279,238,68.8,62.3
FEMALE,53 years,"2,080","1,895","1,449",209,236,"1,304",370,221,69.7,62.7
FEMALE,54 years,"2,198","2,043","1,628",141,274,"1,502",269,272,74.1,68.3
