,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,"United States (excludes
Washington, DC)",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
          Public utilities,T15,"13,178,367","772,759","4,627","22,181",X,"967,091",X,"338,357","53,700","158,593","1,993,539",X,"159,222","2,072","1,208,336","20,470","76,802",314,"80,710","10,306","22,837","151,423","4,150","42,725","86,005","1,808",X,"40,515","65,924","77,456","30,614","236,078","104,087","781,133","127,619","35,593","1,205,241","115,484","15,565","1,395,154","102,998","28,571","3,578","10,301","874,884","65,938","10,219","476,061","807,844","132,150","410,008","5,918"
          Sports betting (including pari-mutuels),T18,"2,592,975","11,267",X,"40,671","7,840","21,385","30,198","23,100","8,849","3,795","12,165",X,X,"1,472","178,026","43,488","18,334","11,593","98,695","56,873","3,176","117,336","121,310","19,242","1,381","4,411",X,0,661,"68,611","33,655","147,419","1,287","912,874","41,781","1,467","143,850","1,049",X,"187,851","20,566",X,177,"87,569","4,203",X,"3,234","83,157","1,078","4,486",0,"17,188"
          Other selective sales and gross receipts,T19,"67,010,005","704,845","82,085","1,154,103","328,914","4,647,873","1,610,221","1,423,616","179,417","86,208","1,221,510","534,822","921,958","216,678","4,457,547","2,130,264","118,217","65,103","1,001,929","625,973","213,243","1,801,599","614,170","2,328,035","2,386,462","360,888","223,977","190,318","28,737","406,588","417,080","2,744,689","293,069","8,061,037","1,319,417","200,584","2,835,131","87,875","1,277,109","2,316,720","230,955","1,246,195","172,398","723,212","8,634,799","31,927","648,469","3,083,487","1,536,944","732,000","434,719","3,097"
Income taxes,TA4,"644,922,011","7,463,209","389,125","6,593,551","3,732,270","164,509,965","10,115,918","13,237,041","3,070,864","4,271,954","6,045,890","19,635,627","3,795,096","4,056,255","35,295,568","9,061,329","5,293,280","5,969,395","7,056,636","5,896,980","2,858,702","15,496,879","28,425,442","14,743,581","19,149,541","3,045,600","9,400,085","2,556,940","4,207,280",X,"1,401,979","27,091,457","2,781,940","77,058,114","18,223,476","612,922","10,020,919","5,202,631","11,223,340","22,035,563","2,188,794","7,496,591","60,718","3,050,692",X,"7,169,556","1,498,470","21,473,737","350,447","2,735,322","12,143,294",X
     Individual income,T40,"479,627,360","5,281,413",X,"4,808,643","2,759,813","123,101,651","7,521,114","10,034,028","2,533,018","3,138,951",X,"16,020,674","3,280,508","2,885,574","22,629,801","8,096,200","3,760,179","4,503,615","5,015,585","4,882,451","2,398,949","10,647,833","22,134,838","11,558,731","13,274,070","2,327,803","7,747,560","2,246,570","2,482,372",X,"183,359","18,880,484","2,171,700","53,840,077","16,664,704","356,475","10,020,706","4,511,353","9,538,119","17,079,032","1,593,218","6,145,430",X,"2,123",X,"5,719,610","1,243,069","17,637,351","350,447","2,269,859","9,487,251",X
     Corporation net income,T41,"165,294,651","2,181,796","389,125","1,784,908","972,457","41,408,314","2,594,804","3,203,013","537,846","1,133,003","6,045,890","3,614,953","514,588","1,170,681","12,665,767","965,129","1,533,101","1,465,780","2,041,051","1,014,529","459,753","4,849,046","6,290,604","3,184,850","5,875,471","717,797","1,652,525","310,370","1,724,908",X,"1,218,620","8,210,973","610,240","23,218,037","1,558,772","256,447",213,"691,278","1,685,221","4,956,531","595,576","1,351,161","60,718","3,048,569",X,"1,449,946","255,401","3,836,386",X,"465,463","2,656,043",X
License taxes,TA3,"71,480,340","612,540","106,186","633,065","432,904","15,013,849","754,470","404,268","2,584,139","240,053","2,450,462","620,795","330,902","505,798","3,917,306","1,207,791","1,118,379","452,958","570,494","970,899","336,434","1,052,694","1,417,438","2,263,970","1,622,308","631,900","739,384","533,838","207,997","783,518","479,850","2,555,803","400,702","1,980,826","2,609,515","251,794","2,094,524","974,827","1,268,999","3,163,308","165,232","750,485","347,624","2,559,422","3,810,705","450,048","156,878","1,205,070","2,140,815","249,863","1,374,518","212,846"
     Alcoholic beverages,T20,"851,939","4,607","2,563","15,657","6,329","98,609","10,580","9,941","2,019","6,516","7,540","4,977",X,"2,111","17,969","17,360","15,044","3,930","8,104",0,"8,127","3,600","4,413","22,521","3,485","1,492","6,325","7,430","1,380",X,"5,842","4,199","4,000","80,739","30,470",413,"46,344",68,"4,523","35,336","1,332","15,277","1,655","1,810","101,341",0,470,"17,179","210,550","1,745","2,533",X
     Amusements,T21,"467,703",X,633,12,"1,158","21,964","1,042",173,437,0,"1,536",X,X,272,"48,038","15,285","20,553","10,351",332,X,797,"6,131","14,822",X,"9,146","21,071",28,"4,664",559,"101,582",203,"47,689",556,0,184,"4,047","24,016","2,101","2,725","33,543",291,"6,027","5,693",432,"3,618",X,20,"35,604","16,660","3,522",77,109
     Corporations in general,T22,"9,424,591","219,000",X,"30,081","39,370","101,686","27,931","37,371","2,344,614","51,519","391,543","57,159","2,937","6,115","353,608","12,620","116,157","24,532","122,354","695,669","14,791","145,619","28,577","24,294","17,464","224,345",0,"3,291","12,538","92,206","3,038","912,330","5,060","46,170","881,635",X,"237,032","57,284","54,818","3,219","7,848","188,148","8,284","1,496,844","163,578",131,"3,287","81,818","62,773","1,961","33,728","29,733"
